Economy,Real 2017 GDP (US$MM),Agriculture (% of Real GDP)
China,23210000,0.0790
United States of America,19490000,0.0090
India,9474000,0.1540
Japan,5443000,0.0110
Germany,4199000,0.0070
Russian Federation,4016000,0.0470
Indonesia,3250000,0.1370
Brazil,3248000,0.0660
France,2956000,0.0170
United Kingdom of Great Britain and Northern Ireland,2925000,0.0070
Mexico,2463000,0.0360
Italy,2317000,0.0210
Turkey,2186000,0.0680
"Korea, Republic of",2035000,0.0220
Spain,1778000,0.0260
Saudi Arabia,1775000,0.0260
Canada,1774000,0.0160
"Iran, Islamic Republic of",1640000,0.0960
Australia,1248000,0.0360
Thailand,1236000,0.0820
Egypt,1204000,0.1170
Taiwan,1189000,0.0180
Poland,1126000,0.0240
Nigeria,1121000,0.2110
Pakistan,1061000,0.2440
Malaysia,933300,0.0880
Netherlands,924400,0.0160
Argentina,922100,0.1080
Philippines,877200,0.0960
South Africa,767200,0.0280
Colombia,711600,0.0720
United Arab Emirates,696000,0.0090
Bangladesh,690300,0.1420
Iraq,649300,0.0330
Vietnam,648700,0.1530
Algeria,630000,0.1330
Belgium,529200,0.0070
Singapore,528100,0.0000
Switzerland,523100,0.0070
Sweden,518000,0.0160
Romania,483400,0.0420
Kazakhstan,478600,0.0470
Hong Kong,455900,0.0010
Chile,452100,0.0420
Austria,441000,0.0130
Peru,430300,0.0760
"Venezuela, Bolivarian Republic of",381600,0.0470
Norway,381200,0.0230
Czechia,375900,0.0230
Ukraine,369600,0.1220
Ireland,353300,0.0120
Qatar,339500,0.0020
Myanmar,329800,0.2410
Israel,317100,0.0240
Portugal,314100,0.0220
Greece,299300,0.0410
Morocco,298600,0.1400
Kuwait,289700,0.0040
Hungary,289600,0.0390
Denmark,287800,0.0130
Sri Lanka,275800,0.0780
Finland,244900,0.0270
Uzbekistan,223000,0.1790
Ethiopia,200600,0.3480
Angola,193600,0.1020
Ecuador,193000,0.0670
Oman,190100,0.0180
New Zealand,189000,0.0570
Slovakia,179700,0.0380
Belarus,179400,0.0810
Sudan,177400,0.3960
Dominican Republic,173000,0.0560
Azerbaijan,172200,0.0610
Kenya,163700,0.3450
"Tanzania, United Republic of",162500,0.2340
Bulgaria,153500,0.0430
Guatemala,138100,0.1330
Tunisia,137700,0.1010
Cuba,137000,0.0400
Ghana,134000,0.1830
Puerto Rico,130000,0.0080
Serbia,105700,0.0980
Panama,104100,0.0240
Turkmenistan,103700,0.0750
Croatia,102100,0.0370
Côte d'Ivoire,97160,0.2010
Lithuania,91470,0.0350
Cameroon,89540,0.1670
Uganda,89190,0.2820
Jordan,89000,0.0450
Paraguay,88910,0.1790
Lebanon,88250,0.0390
Costa Rica,83940,0.0550
"Bolivia, Plurinational State of",83720,0.1380
Nepal,79190,0.2700
Uruguay,78160,0.0620
Yemen,73630,0.2030
Macao,71820,0.0000
Slovenia,71230,0.0180
Bahrain,71170,0.0030
Afghanistan,69450,0.2300
Zambia,68930,0.0750
"Congo, Democratic Republic of the",68600,0.1970
Cambodia,64210,0.2530
Luxembourg,62110,0.0030
Libya,61970,0.0130
Senegal,54800,0.1690
Latvia,54020,0.0390
El Salvador,51170,0.1200
Syrian Arab Republic,50280,0.2000
Lao People's Democratic Republic,49340,0.2090
Honduras,46300,0.1420
Bosnia and Herzegovina,44830,0.0680
Trinidad and Tobago,42850,0.0040
Estonia,41650,0.0280
Mali,41220,0.4180
"Korea, Democratic People's Republic of",40000,0.2250
Georgia,39850,0.0820
Madagascar,39850,0.2400
Mongolia,39730,0.1210
Botswana,39010,0.0180
Mozambique,37090,0.2390
Gabon,36660,0.0500
Nicaragua,36400,0.1550
Albania,36010,0.2170
Burkina Faso,35850,0.3100
Zimbabwe,34270,0.1200
Brunei Darussalam,33870,0.0120
Cyprus,31780,0.0200
Equatorial Guinea,31520,0.0250
North Macedonia,31030,0.1090
Papua New Guinea,30190,0.2210
Congo,29390,0.0930
Chad,28620,0.5230
Tajikistan,28430,0.2860
Armenia,28340,0.1670
Mauritius,28270,0.0400
Guinea,27970,0.1980
Namibia,26600,0.0670
Jamaica,26060,0.0700
Benin,25390,0.2610
Rwanda,24680,0.3090
"Moldova, Republic of",23720,0.1770
Kyrgyzstan,23150,0.1460
Malawi,22420,0.2860
Niger,21860,0.4160
Somalia,20440,0.6020
Haiti,19970,0.2210
Kosovo,19600,0.1190
Malta,19260,0.0110
Iceland,18180,0.0580
