,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAEI Emissions – CO2 Summary by Zone (tonnes/year),,,,,,,,,,LAEI Emissions – CO2 Summary by Borough (tonnes/year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Year,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO2 Emissions (tonnes/annum),Zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GLA,,,GLA Total,Non GLA,LAEI (Grand Total),,,,CO2 Emissions (tonnes/annum),Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source,Central,Inner,Outer,,,,,,,Row Labels,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City,City of Westminster,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Non GLA,Grand Total
Domestic," 138,252 "," 3,096,126 "," 5,309,987 "," 8,544,366 "," 1,321,473 "," 9,865,839 ",,,,Domestic," 162,987 "," 461,163 "," 259,679 "," 324,437 "," 430,992 "," 200,753 "," 6,514 "," 204,783 "," 436,441 "," 354,491 "," 331,024 "," 241,628 "," 206,690 "," 185,641 "," 265,358 "," 301,646 "," 286,844 "," 308,725 "," 250,827 "," 189,793 "," 183,748 "," 188,125 "," 294,221 "," 282,429 "," 228,355 "," 232,516 "," 306,851 "," 250,547 "," 221,274 "," 219,691 "," 148,883 "," 254,689 "," 321,343 "," 1,322,752 "," 9,865,839 "
Biomass,,,,,,,,,,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wood Burning,,,,,,,,,,Wood Burning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heat and Power Generation," 138,249 "," 3,095,668 "," 5,304,732 "," 8,538,650 "," 1,318,812 "," 9,857,462 ",,,,Heat and Power Generation," 162,913 "," 460,632 "," 259,377 "," 324,245 "," 430,337 "," 200,727 "," 6,514 "," 204,774 "," 435,988 "," 354,284 "," 330,703 "," 241,477 "," 206,682 "," 185,634 "," 265,307 "," 301,289 "," 286,418 "," 308,221 "," 250,631 "," 189,788 "," 183,742 "," 187,937 "," 294,187 "," 282,338 "," 228,231 "," 232,495 "," 306,665 "," 250,383 "," 221,238 "," 219,432 "," 148,877 "," 254,613 "," 321,291 "," 1,320,091 "," 9,857,462 "
Gas Combustion," 135,326 "," 3,061,667 "," 5,243,775 "," 8,440,767 "," 1,289,653 "," 9,730,420 ",,,,Gas Combustion," 160,321 "," 456,661 "," 255,615 "," 321,608 "," 424,707 "," 197,864 "," 6,426 "," 201,303 "," 431,081 "," 350,556 "," 326,604 "," 238,410 "," 205,175 "," 183,978 "," 263,080 "," 298,522 "," 282,167 "," 303,957 "," 247,205 "," 188,447 "," 181,246 "," 186,018 "," 291,344 "," 279,274 "," 225,245 "," 229,929 "," 303,435 "," 247,334 "," 218,086 "," 216,782 "," 147,217 "," 251,670 "," 318,281 "," 1,290,874 "," 9,730,420 "
Oil/Coal Combustion," 2,923 "," 34,002 "," 60,958 "," 97,882 "," 29,160 "," 127,042 ",,,,Oil/Coal Combustion," 2,592 "," 3,971 "," 3,762 "," 2,638 "," 5,630 "," 2,862 ", 87 ," 3,471 "," 4,907 "," 3,728 "," 4,099 "," 3,067 "," 1,508 "," 1,656 "," 2,227 "," 2,767 "," 4,252 "," 4,264 "," 3,426 "," 1,341 "," 2,496 "," 1,919 "," 2,844 "," 3,064 "," 2,986 "," 2,566 "," 3,230 "," 3,049 "," 3,151 "," 2,650 "," 1,661 "," 2,942 "," 3,010 "," 29,216 "," 127,042 "
Machinery, 3 , 458 ," 5,255 "," 5,716 "," 2,661 "," 8,377 ",,,,Machinery, 74 , 530 , 301 , 191 , 655 , 26 , 0 , 9 , 453 , 208 , 321 , 151 , 8 , 6 , 51 , 357 , 425 , 504 , 196 , 5 , 5 , 188 , 34 , 90 , 124 , 21 , 186 , 164 , 36 , 260 , 6 , 76 , 52 ," 2,661 "," 8,377 "
