"CRIRank",Country,"CRIscore"
1,Japan,5.5
2,Philippines,11.17
3,Germany,13.83
4,Madagascar,15.83
5,India,18.17
6,Sri Lanka,19
7,Kenya,19.67
8,Rwanda,21.17
9,Canada,21.83
10,Fiji,22.5
11,Greece,23.67
12,United States of America,23.83
13,Oman,24.33
14,Uganda,24.67
15,Tonga,25.17
16,Vietnam,26.17
17,Mongolia,26.67
18,Nigeria,28.83
19,Lithuania,29.33
20,Nepal,29.67
21,Italy,33.67
22,Laos,35.5
23,Uruguay,35.67
24,Afghanistan,36
25,Burundi,36.33
26,Mexico,37.67
27,Niger,39.67
28,Yemen,41.33
29,Solomon Islands,43.17
30,El Salvador,44.33
31,Djibouti,44.67
31,Vanuatu,44.67
33,China,45.17
34,France,46.17
35,Czech Republic,46.83
35,Tunisia,46.83
37,Guinea-Bissau,47.5
38,Cambodia,47.67
38,Spain,47.67
40,Argentina,48.33
41,Poland,49
42,Sudan,49.33
43,Australia,49.5
44,Latvia,50
45,Honduras,51.67
46,New Zealand,53.17
47,South Africa,53.33
48,Myanmar,53.83
49,Austria,56
50,Jordan,56.33
51,Slovenia,57.83
52,Nicaragua,60.17
53,Colombia,61
54,Mozambique,61.17
55,Denmark,61.33
56,Lesotho,61.5
57,Ethiopia,62.83
57,Kuwait,62.83
59,Bolivia,63.5
60,Iran,64.83
61,Serbia,65.5
62,Lebanon,67.17
62,Netherlands,67.17
64,Indonesia,68.17
65,Ghana,68.33
66,Iraq,68.5
67,Thailand,68.83
68,Democratic Republic of the Congo,69.83
68,Tanzania,69.83
70,Grenada,70.5
70,Samoa,70.5
72,Portugal,70.67
73,Central African Republic,71.17
73,Tajikistan,71.17
75,Taiwan,72.33
76,Cyprus,73.5
77,Switzerland,73.67
78,United Kingdom,73.83
79,Russia,75.5
80,Angola,76
81,Ireland,76.5
81,South Korea,76.5
83,Guatemala,77.33
84,Mauritius,78.83
85,Namibia,79.17
85,Turkey,79.17
87,Chile,81.17
88,Trinidad and Tobago,81.33
89,Romania,81.67
90,Belgium,81.83
91,Brazil,82.83
92,Panama,83.33
93,Malawi,83.67
94,Norway,84
95,Luxembourg,84.33
96,Costa Rica,84.67
97,Malaysia,84.83
98,Bangladesh,85.5
99,Dominican Republic,86.5
100,Pakistan,87.83
101,Benin,88
102,Slovakia,88.33
103,Saudi Arabia,88.5
104,Haiti,88.67
105,Sweden,89
106,Cote d'Ivoire,89.5
106,Israel,89.5
108,Estonia,90.5
109,Algeria,93.83
110,Peru,94
111,Eswatini,96.67
112,Ecuador,97
113,Georgia,97.83
114,Montenegro,98.17
115,Kazakhstan,98.5
116,Bulgaria,101
116,Mauritania,101
118,Maldives,103.33
119,Venezuela,104.17
120,Senegal,104.5
121,Ukraine,105.33
122,Cameroon,105.83
123,Hungary,107.17
124,Puerto Rico,107.67
125,Albania,108
126,Croatia,108.33
127,Paraguay,109.33
128,Jamaica,109.5
129,Bosnia and Herzegovina,109.67
130,Belarus,111.83
131,Egypt,113.67
132,Zimbabwe,114.5
133,South Sudan,116
134,Kyrgyz Republic,117.5
135,Antigua and Barbuda,125
135,Armenia,125
135,Azerbaijan,125
135,Bahrain,125
135,Barbados,125
135,Belize,125
135,Bhutan,125
135,Botswana,125
135,Brunei,125
135,Burkina Faso,125
135,Cape Verde,125
135,Chad,125
135,Comoros,125
135,Timor-Leste,125
135,Dominica,125
135,Eritrea,125
135,Finland,125
135,Gabon,125
135,Guinea,125
135,Guyana,125
135,Iceland,125
135,Kiribati,125
135,Kosovo,125
135,Liberia,125
135,Libya,125
135,Mali,125
135,Malta,125
135,Marshall Islands,125
135,Micronesia,125
135,Moldova,125
135,Morocco,125
135,North Macedonia,125
135,Papua New Guinea,125
135,Qatar,125
135,Republic of Congo,125
135,Seychelles,125
135,Sierra Leone,125
135,Singapore,125
135,St. Kitts and Nevis,125
135,St. Lucia,125
135,"St. Vincent and the Grenadines",125
135,Suriname,125
135,The Bahamas,125
135,Gambia,125
135,Togo,125
135,Tuvalu,125
135,United Arab Emirates,125
135,Uzbekistan,125
135,Zambia,125
