Country,CRI Score,GDP Per Capita (current US$)
Singapore,125,72794.00302
Iceland,125,68727.63666
Qatar,125,66838.35743
Finland,125,53654.7503
United Arab Emirates,125,44315.55418
Malta,125,33486.67198
Brunei Darussalam,125,31449.07656
Bahrain,125,26562.96914
St. Kitts and Nevis,125,18082.61019
Barbados,125,17225.4623
Antigua and Barbuda,125,15781.3957
Seychelles,125,14653.30939
Guyana,125,9998.544311
St. Lucia,125,9414.226231
Gabon,125,8635.325694
Dominica,125,7653.17187
Botswana,125,6805.221274
Libya,125,6357.19555
Belize,125,6228.267309
Azerbaijan,125,5387.997975
Kosovo,125,5269.783901
Moldova,125,5230.661733
Armenia,125,4966.513471
Suriname,125,4869.134226
Morocco,125,3795.380127
Bhutan,125,3266.364905
Belarus,111.83,7302.257794
Bosnia and Herzegovina,109.67,7143.310548
Jamaica,109.5,5183.581305
Paraguay,109.33,5891.499965
Croatia,108.33,17685.32528
Albania,108,6492.872012
Puerto Rico,107.67,32640.71034
Hungary,107.17,18728.12189
Maldives,103.33,10366.29336
Bulgaria,101,12221.49661
Kazakhstan,98.5,10373.78979
Montenegro,98.17,9465.703999
Georgia,97.83,5023.27438
Ecuador,97,5965.132871
Eswatini,96.67,3978.403528
Peru,94,6621.574336
Algeria,93.83,3690.627878
Estonia,90.5,27943.70122
Israel,89.5,52170.71186
Cote d'Ivoire,89.5,2549.041297
Sweden,89,61028.73806
Haiti,88.67,1829.593044
Saudi Arabia,88.5,23185.87079
Slovak Republic,88.33,21391.92533
Benin,88,1319.154995
Pakistan,87.83,1505.010193
Dominican Republic,86.5,8476.752157
Bangladesh,85.5,2457.92488
Malaysia,84.83,11109.26184
Costa Rica,84.67,12472.44373
Luxembourg,84.33,133590.147
Norway,84,89154.27609
Malawi,83.67,634.8356601
Panama,83.33,14617.60448
Brazil,82.83,7507.160971
Belgium,81.83,51247.01435
Romania,81.67,14858.22943
Trinidad and Tobago,81.33,16032.50277
Chile,81.17,16265.09598
Turkey,79.17,9661.235975
Namibia,79.17,4865.557765
Mauritius,78.83,9106.237202
Guatemala,77.33,5025.542291
Ireland,76.5,100172.0793
"Korea, Rep.",76.5,34997.78164
Angola,76,1953.533757
Russia,75.5,12194.77734
United Kingdom,73.83,46510.28278
Switzerland,73.67,91991.60046
Cyprus,73.5,31551.81641
Tajikistan,71.17,897.0475103
Central African Republic,71.17,461.1374902
Portugal,70.67,24567.50927
Grenada,70.5,9010.572245
Samoa,70.5,3857.318464
Tanzania,69.83,1099.287598
Democratic Republic of Congo,69.83,577.2092152
Thailand,68.83,7066.190546
Iraq,68.5,4775.377454
Ghana,68.33,2363.299296
Indonesia,68.17,4332.709281
Netherlands,67.17,57767.87881
Lebanon,67.17,4136.146347
Serbia,65.5,9230.178316
Iran,64.83,4091.209187
Bolivia,63.5,3345.196589
Ethiopia,62.83,925.077428
Lesotho,61.5,1094.098185
Denmark,61.33,68007.75667
Mozambique,61.17,491.8391128
Colombia,61,6104.136709
Nicaragua,60.17,2045.535402
Slovenia,57.83,29291.40062
Jordan,56.33,4103.258966
Austria,56,53637.70571
Myanmar,53.83,1209.926942
South Africa,53.33,7055.044776
New Zealand,53.17,48781.02663
Honduras,51.67,2771.717461
Latvia,50,21148.16294
Australia,49.5,60443.10916
Sudan,49.33,751.8213501
Poland,49,17999.90995
Argentina,48.33,10636.1202
Spain,47.67,30103.51373
Cambodia,47.67,1625.23502
Guinea-Bissau,47.5,795.1185693
Czechia,46.83,26821.24523
Tunisia,46.83,3807.13915
France,46.17,43658.97898
China,45.17,12556.33312
Djibouti,44.67,3150.436729
Vanuatu,44.67,2996.621062
El Salvador,44.33,4551.184661
Solomon Islands,43.17,2304.844567
Niger,39.67,590.6294548
Mexico,37.67,10045.6805
Burundi,36.33,221.4776762
Afghanistan,36,368.7546142
Uruguay,35.67,17313.18835
Lao PDR,35.5,2535.623432
Italy,33.67,35657.49756
Nepal,29.67,1208.218534
Lithuania,29.33,23723.34025
Nigeria,28.83,2065.749068
Mongolia,26.67,4566.140154
Tonga,25.17,4426.000637
Uganda,24.67,883.8920323
Oman,24.33,19509.46646
Greece,23.67,20192.5963
Fiji,22.5,4646.612723
Canada,21.83,51987.93905
Rwanda,21.17,822.3479886
Kenya,19.67,2081.799855
Sri Lanka,19,4013.687657
India,18.17,2256.590409
Madagascar,15.83,500.511032
Germany,13.83,51203.55447
Philippines,11.17,3460.530963
Japan,5.5,39312.66037
