Country,Total Greenhouse Gas Emissions (kilotons),GDP Per Capita (Current US$)
Albania,10080,5287.663694
Algeria,218910,4171.795011
Andorra,590,42903.44358
Antigua and Barbuda,1210,17527.16963
Argentina,3.4,11795.15939
Armenia,9360,4391.923697
Australia,615380,57207.87151
Austria,74980,51466.55656
Azerbaijan,80260,4739.84171
Barbados,3790,18224.89059
Belarus,88140,6360.062473
Belgium,108750,47544.98115
Benin,0.6,1194.438214
Bosnia and Herzegovina,27190,5936.101502
Brazil,1.8,9121.083403
Bulgaria,53330,9446.717094
Cambodia,37460,1533.315985
Canada,724930,46548.63841
Chile,4.1,15795.70846
China,12355240,9905.342004
Colombia,1.4,6782.03792
Croatia,22550,15244.43105
Cuba,41860,8831.907222
Cyprus,6.8,29418.93555
Czechia,122840,23424.48046
Denmark,45870,61591.92887
Dominica,240,7833.195013
Dominican Republic,39060,7947.158207
Estonia,18610,23165.84948
Fiji,2820,6073.336388
Finland,54490,49987.62616
France,423350,41557.85486
Georgia,16900,4722.042423
Germany,806090,47939.27829
Ghana,0.6,2180.04157
Greece,84750,19756.99046
Grenada,2360,9574.279873
Haiti,9930,1494.224962
Hungary,60920,16425.1013
Iceland,3440,74461.48
Indonesia,969580,3902.661668
Ireland,65090,79250.38785
Israel,6.3,42406.84543
Italy,399600,34622.16967
Jamaica,10020,5594.493935
Japan,1186770,39727.1166
Kazakhstan,274220,9812.626371
Kiribati,110,1605.01365
Latvia,11660,17865.03109
Libya,103040,11838.00962
Liechtenstein,180,175283.6318
Lithuania,18840,19186.35959
Luxembourg,10220,116786.5117
Malaysia,306670,11074.06409
Malta,2040,31567.94224
Marshall Islands,240,4769.190459
Mauritius,2.9,11645.98198
Mexico,3,9857.028829
Moldova,13180,4232.206888
Mongolia,52620,4165.022739
Montenegro,3800,8850.092733
Morocco,94290,3492.67334
Myanmar,119650,1274.915657
Nauru,80,10400.98907
Netherlands,178640,53044.53244
New Zealand,81330,43250.44097
North Macedonia,10510,6108.740108
Norway,47340,82267.80932
Palau,320,15948.27586
Papua New Guinea,22970,2584.298769
Philippines,232340,3194.674521
Poland,389650,15504.58048
Portugal,66820,23562.55452
Romania,109010,12494.47747
Russia,2543400,11287.36035
Samoa,690,4188.988532
Serbia,62600,7252.401858
Singapore,66640,66859.33834
Slovakia,39930,26123.74713
Slovenia,17170,2450.484428
Solomon Islands,940,30379.72111
South Korea,718880,33436.92306
Spain,326940,769.8691406
Sudan,109630,54589.06039
Sweden,46350,85217.36915
Switzerland,46020,7124.564544
Thailand,416950,1239.366122
Timor-Leste,6190,4649.57939
Tonga,350,16164.16133
Trinidad and Tobago,22900,3577.124412
Tunisia,41100,9400.778214
Turkey,4.4,4401.131201
Tuvalu,30,3096.561768
Ukraine,274510,43306.3083
United Kingdom,452080,62823.30944
United States,6023620,18825.28381
Uruguay,1.8,3076.835315
Vanuatu,870,3267.225009
