Year,Net_Annual_Change
1993,0
1994,1.3
1995,3
1996,5.7
1997,4.7
1998,5.8
1999,0.2
2000,2.9
2001,4.6
2002,3.7
2003,2.1
2004,2.2
2005,3.8
2006,1.5
2007,0.3
2008,5.4
2009,4.9
2010,1.4
2011,-0.3
2012,10.8
2013,2.5
2014,3.4
1993,-104.5494
1994,-195.5413
1995,-142.9034
1996,-59.9941
1997,-12.2324
1998,-67.4408
1999,-95.2343
2000,-53.6255
2001,-108.3174
2002,-158.4765
2003,-209.4546
2004,-245.2137
2005,-250.5223
2006,-282.247
2007,-344.9095
2008,-353.2449
2009,-344.2414
2010,-443.2299
2011,-504.5213
2012,-473.2962
2013,-400.9129
2014,-372.4069
