Country,Year,tree_cover_loss_ha,tree_cover_loss_from_fires_ha
AFG,2001,88.09271247,10.09495452
AGO,2001,101220.6215,888.6945611
AIA,2001,3.878460708,0
ALA,2001,396.9348257,8.129860985
ALB,2001,3729.021031,754.5549943
AND,2001,1.654212948,0.285373012
ARG,2001,147805.9504,7785.601216
ARM,2001,131.8406123,28.98565124
ATG,2001,24.07418944,0.368163987
AUS,2001,218816.3021,154497.154
AUT,2001,6926.269008,63.69590211
AZE,2001,553.2993561,102.6672525
BDI,2001,1417.246957,0.614435098
BEL,2001,971.4881953,10.19918555
BEN,2001,3749.331105,8.461169358
BES,2001,3.031857253,0
BFA,2001,59.47710511,0
BGD,2001,4586.997203,119.0778104
BGR,2001,8202.319112,2588.538491
BHS,2001,432.9994197,71.08703236
BIH,2001,1496.107105,620.795727
BLR,2001,18358.96428,339.6969632
BLZ,2001,8211.629493,1289.197612
BMU,2001,0.195819794,0
BOL,2001,140321.2605,11430.09796
BRA,2001,2746361.557,127075.4843
BRB,2001,12.36746156,0.524635114
BRN,2001,1244.453823,53.21603476
BTN,2001,297.6596315,28.09743365
BWA,2001,130.9838815,3.553408238
CAF,2001,31282.43685,303.1105737
CAN,2001,1358154.799,520840.5677
CHE,2001,1165.213247,13.16476191
CHL,2001,72711.30281,2979.308705
CHN,2001,230289.1153,29620.6602
CIV,2001,122683.6209,608.213006
CMR,2001,39203.71718,135.0208878
COD,2001,455516.739,7540.415647
COG,2001,27030.69622,680.6041946
COL,2001,230054.8357,9995.102972
COM,2001,36.97369321,0.225947945
CPV,2001,7.136450794,1.264449731
CRI,2001,15461.87945,486.7864544
CUB,2001,18942.90878,989.8441378
CUW,2001,0.902788526,0.075225039
CYM,2001,20.6816122,0.362984597
CYP,2001,78.62890207,41.24433561
CZE,2001,3460.142586,75.6086082
DEU,2001,15286.38057,165.5573545
DMA,2001,22.79275551,0.371002389
DNK,2001,4329.295853,129.5238683
DOM,2001,11246.81007,1110.62097
DZA,2001,3468.760252,0
ECU,2001,45002.46871,3394.187427
EGY,2001,147.7649427,0
ERI,2001,2.529524333,0.892756149
ESP,2001,32811.05352,7521.44567
EST,2001,16872.43451,200.9310489
ETH,2001,11947.24724,48.16398035
FIN,2001,151003.2605,2066.713802
FJI,2001,1097.764054,22.98367063
FRA,2001,34420.96339,1602.153341
GAB,2001,15082.63773,180.8810327
GBR,2001,23244.12725,2742.570817
GEO,2001,666.5563666,61.80836734
GGY,2001,0.957678036,0.050414221
GHA,2001,43644.05617,101.6580251
GIB,2001,0.187285637,0
GIN,2001,18571.52586,104.7397149
GLP,2001,320.7023856,3.031383899
GMB,2001,3.297421863,0
GNB,2001,2362.153028,2.634593182
GNQ,2001,3585.419101,7.612227418
GRC,2001,12616.82202,6902.147463
GRD,2001,32.81085887,0.075240976
GTM,2001,53310.17515,3477.468036
GUF,2001,3033.287749,196.7156678
GUY,2001,10039.86771,2923.336047
HKG,2001,7.981291214,0.284980306
HND,2001,42380.17446,3128.64562
HRV,2001,3378.489604,688.9521969
HTI,2001,2469.048298,189.027645
HUN,2001,7522.059332,96.82719036
IDN,2001,744087.9891,36584.07479
IMN,2001,15.97543762,3.357041069
IND,2001,62361.1745,2011.99681
IRL,2001,9559.474141,597.9833643
IRN,2001,332.4837054,62.84616548
IRQ,2001,16.02663642,2.267511666
ISR,2001,145.9652381,7.606187855
ITA,2001,9871.496932,706.8047907
JAM,2001,1246.241523,28.05902341
JEY,2001,3.696338871,0.303819953
JOR,2001,0.522028031,0
JPN,2001,23977.46162,114.2497561
KAZ,2001,4534.702741,1169.958089
KEN,2001,19027.21105,36.51739675
KGZ,2001,589.226356,192.5513717
KHM,2001,28491.44387,1054.648449
KNA,2001,45.60965868,1.177028532
KOR,2001,5503.445335,0
LAO,2001,36474.65075,123.7408599
LBN,2001,299.4042676,25.6995691
LBR,2001,29185.67018,303.9712256
LBY,2001,17.15270152,0
LCA,2001,31.08046321,1.793460508
LIE,2001,3.423943212,0.158040248
LKA,2001,3759.510363,73.46096684
LSO,2001,1.140052131,0
LTU,2001,7961.687395,113.4825803
LUX,2001,68.60969197,0.65116962
LVA,2001,24907.62112,201.8810314
MAC,2001,1.428070339,0
MAF,2001,2.123655985,0.219694592
MAR,2001,1868.288606,0
MDA,2001,146.6880607,11.64532981
MDG,2001,86956.8327,2025.337708
MDV,2001,4.743487262,0
MEX,2001,158302.9885,13174.25253
MKD,2001,2059.864143,405.419176
MLI,2001,347.8706881,0.224969691
MLT,2001,1.251912538,0.06260556
MMR,2001,44804.23913,1130.501665
MNE,2001,858.4920805,216.4246109
MNG,2001,21056.72264,11973.38785
MOZ,2001,60936.64968,522.9708635
MRT,2001,31.83843537,0.221104337
MSR,2001,7.078555306,0.294899513
MTQ,2001,192.9652483,4.022255047
MUS,2001,156.5813835,0
MWI,2001,2488.28077,5.341810082
MYS,2001,332497.4245,4872.015698
MYT,2001,31.30269367,0
NAM,2001,417.5124607,2.172941493
NCL,2001,697.9210994,57.00113922
NER,2001,0.150195665,0
NGA,2001,43386.49462,117.7598641
NIC,2001,44109.79205,1551.181628
NLD,2001,736.4216234,17.87650657
NOR,2001,22445.9414,1066.198223
NPL,2001,1523.194752,197.9901115
NZL,2001,50528.28239,980.5260411
PAK,2001,217.7703951,69.84654125
PAN,2001,18264.10741,508.4661028
PER,2001,86013.86649,4890.075302
PHL,2001,35165.1917,478.3212987
PLW,2001,52.11206112,2.05982917
PNG,2001,36005.1351,1185.622542
POL,2001,19066.10208,232.1939354
PRI,2001,1252.362231,14.1289311
PRK,2001,11945.60949,1275.781728
PRT,2001,24405.37982,4291.18573
PRY,2001,150238.7329,8501.150212
PSE,2001,2.219302278,0
REU,2001,28.61721413,0
ROU,2001,17535.52879,464.689065
RUS,2001,1826602.995,1161207.295
RWA,2001,1516.766321,1.691727825
SDN,2001,26.94295316,0.07558568
SEN,2001,70.59427485,0
SGP,2001,43.45389467,0
SLB,2001,2187.117444,29.80886689
SLE,2001,18596.4253,76.68178744
SLV,2001,9499.391624,208.9579278
SOM,2001,339.3039459,1.149427915
SRB,2001,2379.5834,164.4604079
SSD,2001,4906.033993,38.71599202
STP,2001,77.22190502,0
SUR,2001,3688.947052,272.5337764
SVK,2001,3897.393159,92.49086124
SVN,2001,615.4603105,8.13098185
SWE,2001,144927.2266,1843.892967
SWZ,2001,6734.853711,44.10780785
SXM,2001,1.318283677,0.439431891
SYC,2001,0.379574768,0
SYR,2001,267.2352947,53.28465386
TCA,2001,7.72720305,0.214612486
TCD,2001,883.6264799,0.608254058
TGO,2001,2776.230616,7.624782946
THA,2001,36101.94359,270.4476745
TJK,2001,61.53772785,0
TKM,2001,46.21279329,2.014435973
TLS,2001,677.4261599,43.3293014
TTO,2001,1829.096035,71.82454004
TUN,2001,230.6704347,0
TUR,2001,22910.00549,2106.725159
TWN,2001,1159.068116,19.98592869
TZA,2001,82214.20404,510.3202299
UGA,2001,29658.94722,15.91605018
UKR,2001,28826.3802,1253.868654
UMI,2001,2.11971068,0
URY,2001,7647.452723,329.7433863
USA,2001,1943080.844,294588.3313
UZB,2001,294.820902,67.44577402
VCT,2001,6.896545779,0.075027145
VEN,2001,123881.1441,16571.75368
VGB,2001,4.092501168,0.219250435
VIR,2001,122.5133707,2.347505886
VNM,2001,47433.13018,738.9193086
VUT,2001,124.3332979,1.329722162
XAD,2001,1.648989262,0.190614644
XCA,2001,9.735251157,0.989772081
XKO,2001,1122.205429,110.4344109
XNC,2001,17.66158322,0.378227853
ZAF,2001,77644.6906,1764.514592
ZMB,2001,30123.7271,75.71984941
ZWE,2001,8205.934185,25.70660289
ABW,2002,0.526107732,0.150316363
AFG,2002,178.6403638,92.73930229
AGO,2002,61034.22727,626.4541231
AIA,2002,0.146329651,0
ALA,2002,277.8198771,2.77376821
ALB,2002,889.5171155,148.7740739
AND,2002,1.255022224,0.056952716
ARG,2002,105001.8622,7414.667059
ARM,2002,172.5385912,35.57348758
ATG,2002,17.65604165,0.734584058
AUS,2002,312150.1627,235574.3467
AUT,2002,10902.14988,216.633921
AZE,2002,1154.205943,91.16603878
BDI,2002,986.9362126,0.998039533
BEL,2002,2348.390596,59.77918097
BEN,2002,3480.187346,7.175379077
BES,2002,2.106457457,0
BFA,2002,4.3029109,0
BGD,2002,3995.287574,50.31124424
BGR,2002,4638.738812,736.321573
BHS,2002,700.9761365,220.8943276
BIH,2002,692.6588558,80.55569215
BLR,2002,25383.4157,1371.844915
BLZ,2002,13473.73051,2518.019459
BMU,2002,0.717959402,0
BOL,2002,178807.9712,17023.86769
BRA,2002,3507049.44,179476.3974
BRB,2002,11.39198156,0.299789799
BRN,2002,1088.845597,46.46637941
BTN,2002,223.9348815,19.24491566
BWA,2002,22.78899863,0.073335151
CAF,2002,34417.72161,349.6383671
CAN,2002,2316887.665,1316680.382
CHE,2002,881.3039027,21.68550407
CHL,2002,78080.97298,10288.49485
CHN,2002,249150.9601,36478.75033
CIV,2002,144523.6274,354.3374436
CMR,2002,28766.95157,72.78535809
COD,2002,514476.6882,4150.739093
COG,2002,24310.14238,315.1394661
COL,2002,182229.1524,8258.484205
COM,2002,41.20393423,1.355535033
CPV,2002,22.8340031,2.752525348
CRI,2002,13289.14909,400.4261215
CUB,2002,15035.84738,5908.662199
CUW,2002,1.279283688,0.150515936
CYM,2002,5.598244417,0
CYP,2002,31.74324402,5.010473122
CZE,2002,6766.437908,52.23241467
DEU,2002,15303.26237,261.2812385
DMA,2002,11.87470804,0.370929393
DNK,2002,1204.489939,10.0827367
DOM,2002,10435.97987,444.7443285
DZA,2002,3009.833121,0
ECU,2002,29817.73772,2006.557403
EGY,2002,48.81325058,0
ESP,2002,37699.01981,8023.052129
EST,2002,21918.38645,237.0953378
ETH,2002,13074.08741,29.26710768
FIN,2002,142432.404,1427.026502
FJI,2002,703.2099391,15.62773043
FRA,2002,33888.39717,1917.373592
GAB,2002,13851.84666,167.8661037
GBR,2002,20112.34996,2165.052919
GEO,2002,536.442198,53.11575094
GGY,2002,0.050347617,0
GHA,2002,78395.05298,172.980971
GIB,2002,0.12482941,0.062414607
GIN,2002,28933.47429,69.48497528
GLP,2002,50.88541896,0.739384401
GMB,2002,40.15764074,0
GNB,2002,6073.797259,7.91913388
GNQ,2002,2986.110544,7.61067024
GRC,2002,5126.049313,843.2089187
GRD,2002,65.83774686,0.526710188
GTM,2002,55600.93461,7292.703433
GUF,2002,2496.703749,149.4990722
GUY,2002,4827.394979,245.9562774
HKG,2002,15.61155641,0.285158956
HND,2002,31528.01233,2567.266843
HRV,2002,2340.179492,394.3790882
HTI,2002,2120.380505,65.20124113
HUN,2002,7711.03737,116.4876441
IDN,2002,855275.863,83504.6812
IMN,2002,13.6648598,2.406950001
IND,2002,53005.48774,987.810816
IRL,2002,5298.280939,207.1004272
IRN,2002,557.752371,82.84019925
IRQ,2002,10.62006031,5.206038381
ISR,2002,111.7306785,0.910907794
ITA,2002,10931.22755,871.9814418
JAM,2002,1647.570637,67.29600896
JEY,2002,0.810373894,0.05067742
JOR,2002,0.196107558,0
JPN,2002,26154.03983,290.8868858
KAZ,2002,2952.306624,648.9006827
KEN,2002,20287.52622,31.44333162
KGZ,2002,305.4574798,96.73825687
KHM,2002,54862.0762,823.5455333
KNA,2002,19.79075058,1.176962724
KOR,2002,4705.326872,0
LAO,2002,55936.73071,232.2871598
LBN,2002,81.20045904,3.97260689
LBR,2002,56984.42382,430.1457631
LBY,2002,40.24566353,0
LCA,2002,10.91096809,2.01793292
LKA,2002,3427.680386,83.19362305
LSO,2002,2.687139564,0
LTU,2002,10344.83819,25.21545949
LUX,2002,90.45691516,1.552086117
LVA,2002,29175.98819,127.0004369
MAC,2002,0.928207381,0
MAF,2002,5.418846674,0
MAR,2002,3923.517827,0
MDA,2002,229.7964207,15.98765391
MDG,2002,89317.51419,3907.775184
MDV,2002,4.588154946,0
MEX,2002,158834.1254,13172.97276
MKD,2002,890.1837635,59.81052528
MLI,2002,175.2904428,0.149641421
MLT,2002,1.752961399,0.250098171
MMR,2002,66119.68071,1072.490992
MNE,2002,179.6207712,16.16363117
MNG,2002,18728.01995,13915.66557
MOZ,2002,106658.3376,463.7073173
MSR,2002,1.62272987,0
MTQ,2002,48.86224871,0.521550951
MUS,2002,154.4299605,0
MWI,2002,4189.572628,7.453163842
MYS,2002,312553.7873,5412.993297
MYT,2002,20.86919036,0.150136343
NAM,2002,108.0072182,1.980552373
NCL,2002,626.8680588,93.66368237
NER,2002,0.676416444,0
NGA,2002,32346.71006,58.63066767
NIC,2002,54194.49469,642.1322969
NLD,2002,824.5813586,26.3864452
NOR,2002,26635.75319,907.2046102
NPL,2002,2128.64331,333.5069084
NZL,2002,63227.9271,908.6755164
PAK,2002,325.0117524,144.9523552
PAN,2002,19200.13718,800.1925364
PER,2002,80452.08582,3958.57407
PHL,2002,32309.18926,488.3216298
PLW,2002,75.30077104,2.212255787
PNG,2002,54575.5022,2023.995502
POL,2002,31070.13979,237.4053098
PRI,2002,1168.095778,10.46444618
PRK,2002,5358.227207,1009.940271
PRT,2002,34903.34915,8453.405651
PRY,2002,195124.6398,17721.73212
PSE,2002,1.830287115,0.653448152
REU,2002,502.6683752,0
ROU,2002,16356.44545,372.589031
RUS,2002,2700384.154,1998379.749
RWA,2002,941.338718,0.92278693
SDN,2002,76.10035582,0.529563453
SEN,2002,164.4305544,0
SGP,2002,123.516999,0.153818089
SLB,2002,3866.106668,53.49018096
SLE,2002,15310.24197,103.0555193
SLV,2002,4666.509817,197.9461479
SMR,2002,0.111479129,0
SOM,2002,250.8913304,1.221240744
SPM,2002,0.105856563,0.052819903
SRB,2002,1134.989088,77.77735724
SSD,2002,8148.679824,73.4556225
SUR,2002,3717.477562,324.3316147
SVK,2002,4015.732505,52.51125706
SVN,2002,723.8725078,35.61267569
SWE,2002,178264.0808,1452.643143
SWZ,2002,3800.765838,18.21190928
SXM,2002,0.439427723,0
SYC,2002,0.227775334,0
SYR,2002,147.9991941,5.992578304
TCA,2002,4.652026517,0.143110231
TCD,2002,1958.47583,1.749341946
TGO,2002,2020.785483,3.28074903
THA,2002,60882.18974,396.4567033
TJK,2002,36.63912049,0
TKM,2002,105.1787401,2.612087303
TLS,2002,1604.598898,94.11694715
TTO,2002,726.0770093,14.07852496
TUN,2002,243.8717387,0
TUR,2002,25722.22142,3270.287315
TWN,2002,1004.574022,45.57868761
TZA,2002,85080.90089,172.0262989
UGA,2002,10840.69681,4.535578675
UKR,2002,27077.01971,1271.757947
UMI,2002,6.505533058,0
URY,2002,6870.11867,212.3229981
USA,2002,2038249.962,525388.6808
UZB,2002,265.2317188,51.30107702
VCT,2002,7.945998949,0
VEN,2002,90372.37708,3155.981334
VGB,2002,2.996441556,0
VIR,2002,20.90283313,0.440150923
VNM,2002,49625.43782,554.3999235
VUT,2002,108.2396496,1.484036818
XAD,2002,0.507202227,0
XCA,2002,23.39391396,2.092211457
XKO,2002,214.9078823,4.334991911
XNC,2002,3.340847417,1.008361798
ZAF,2002,47679.93414,1450.827346
ZMB,2002,46240.24361,141.3802644
ZWE,2002,8016.170851,35.89755775
ABW,2003,0.9770576,0.225474793
AFG,2003,244.3362552,184.0474834
AGO,2003,52461.54547,314.3572926
AIA,2003,1.097745085,0
ALA,2003,220.7748552,5.634215127
ALB,2003,613.533965,264.6544773
AND,2003,0.342063642,0
ARG,2003,249155.0069,20693.4391
ARM,2003,395.8166949,68.18278762
ATG,2003,17.07802261,0.736088778
AUS,2003,373846.6091,251901.6694
AUT,2003,14475.69483,78.01259422
AZE,2003,1039.341551,94.81775383
BDI,2003,1325.183318,6.07037587
BEL,2003,1889.777513,18.13261559
BEN,2003,3475.926415,2.287282467
BES,2003,16.15018967,5.212132456
BFA,2003,2.038243484,0
BGD,2003,2159.457158,44.08836255
BGR,2003,5198.715558,157.6027541
BHS,2003,274.2308763,19.03619095
BIH,2003,307.8114117,56.79808717
BLR,2003,32119.38156,3534.579128
BLZ,2003,6843.896175,932.8154637
BMU,2003,0.130570243,0
BOL,2003,163759.0988,10757.08888
BRA,2003,3248526.734,175249.5028
BRB,2003,2.997849387,0
BRN,2003,799.1767213,104.6667779
BTN,2003,543.6007673,65.32483143
BWA,2003,8.572551344,0
CAF,2003,13726.63788,137.0785883
CAN,2003,1607282.58,899673.0676
CHE,2003,433.2828851,2.395395072
CHL,2003,82843.76404,4241.382774
CHN,2003,261761.4952,81125.24321
CIV,2003,86247.16119,107.0015625
CMR,2003,25344.84636,70.89428287
COD,2003,274739.9994,1528.219799
COG,2003,18514.84252,180.6396743
COL,2003,122417.1448,8116.580192
COM,2003,26.65331395,0
CPV,2003,8.925222414,0.147991934
CRI,2003,8260.607755,200.954466
CUB,2003,6556.683915,523.5295994
CUW,2003,0.827957708,0
CYM,2003,6.324797604,1.090226743
CYP,2003,25.22916781,5.647125829
CZE,2003,3925.277971,11.25672127
DEU,2003,6448.617531,39.52384517
DMA,2003,27.23870244,0.964818189
DNK,2003,1579.71326,21.41243704
DOM,2003,10714.00158,754.5437687
DZA,2003,3831.437113,0
ECU,2003,13835.72643,1115.269983
EGY,2003,61.01187804,0
ESP,2003,23315.39344,4569.252679
EST,2003,5632.561979,59.85160131
ETH,2003,13936.04122,9.367701742
FIN,2003,89696.55115,2006.086324
FJI,2003,1572.235904,53.28209288
FRA,2003,26393.33418,3576.5194
GAB,2003,16845.22031,155.4096829
GBR,2003,1875.16737,178.1904397
GEO,2003,292.002685,16.75531502
GHA,2003,24955.24902,38.99951538
